eta,alpha,f1,f2,train_acc,test_acc
0.01,0.001,t,t,0.322,0.333
0.025,1e-05,l,l,0.689,0.683
0.05,0.001,t,t,0.633,0.65
0.05,1e-05,t,t,0.767,0.683
0.05,1e-05,l,l,0.9,0.867
0.08,0.0001,t,t,0.856,0.783
0.1,0.001,t,t,0.767,0.333
0.1,0.0001,t,t,0.867,0.783
0.1,0.0001,l,l,0.956,0.967
0.1,0.0005,l,r,0.667,0.667
0.1,0.0001,l,r,0.667,0.667
0.1,0.0001,l,r,0.667,0.667
0.1,0.0001,l,l,0.956,0.95
0.1,0.0001,l,l,0.956,0.95
0.12,0.0001,t,t,0.856,0.717
0.12,1e-05,t,t,0.778,0.667
0.15,0.0001,l,l,0.944,0.983
0.15,0.0005,l,l,0.967,0.983
0.15,0.001,l,l,0.333,0.333
0.18,0.0005,l,l,0.978,0.983
0.18,0.0005,l,r,0.667,0.667
